index,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,month,hour,day,year
0,2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,3,13,16,January,0,Saturday,2011
1,2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,8,32,40,January,1,Saturday,2011
2,2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,5,27,32,January,2,Saturday,2011
3,2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,3,10,13,January,3,Saturday,2011
4,2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,0,1,1,January,4,Saturday,2011
5,2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,January,5,Saturday,2011
6,2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2,0,2,January,6,Saturday,2011
7,2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,1,2,3,January,7,Saturday,2011
8,2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,1,7,8,January,8,Saturday,2011
9,2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,8,6,14,January,9,Saturday,2011
10,2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,January,10,Saturday,2011
11,2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,January,11,Saturday,2011
12,2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,January,12,Saturday,2011
13,2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,January,13,Saturday,2011
14,2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,January,14,Saturday,2011
15,2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,40,70,110,January,15,Saturday,2011
16,2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,41,52,93,January,16,Saturday,2011
17,2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,15,52,67,January,17,Saturday,2011
18,2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,9,26,35,January,18,Saturday,2011
19,2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,6,31,37,January,19,Saturday,2011
20,2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,11,25,36,January,20,Saturday,2011
21,2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,3,31,34,January,21,Saturday,2011
22,2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,11,17,28,January,22,Saturday,2011
23,2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,15,24,39,January,23,Saturday,2011
24,2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,4,13,17,January,0,Sunday,2011
25,2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,1,16,17,January,1,Sunday,2011
26,2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,1,8,9,January,2,Sunday,2011
27,2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,2,4,6,January,3,Sunday,2011
28,2011-01-02 04:00:00,1,0,0,2,18.86,22.725,94,12.998,2,1,3,January,4,Sunday,2011
29,2011-01-02 06:00:00,1,0,0,3,17.22,21.21,77,19.9995,0,2,2,January,6,Sunday,2011
30,2011-01-02 07:00:00,1,0,0,2,16.4,20.455,76,12.998,0,1,1,January,7,Sunday,2011
31,2011-01-02 08:00:00,1,0,0,3,16.4,20.455,71,15.0013,0,8,8,January,8,Sunday,2011
32,2011-01-02 09:00:00,1,0,0,2,15.58,19.695,76,15.0013,1,19,20,January,9,Sunday,2011
33,2011-01-02 10:00:00,1,0,0,2,14.76,17.425,81,15.0013,7,46,53,January,10,Sunday,2011
34,2011-01-02 11:00:00,1,0,0,2,14.76,16.665,71,16.9979,16,54,70,January,11,Sunday,2011
35,2011-01-02 12:00:00,1,0,0,2,14.76,16.665,66,19.9995,20,73,93,January,12,Sunday,2011
36,2011-01-02 13:00:00,1,0,0,2,14.76,17.425,66,8.9981,11,64,75,January,13,Sunday,2011
37,2011-01-02 14:00:00,1,0,0,3,14.76,17.425,76,12.998,4,55,59,January,14,Sunday,2011
38,2011-01-02 15:00:00,1,0,0,3,13.94,16.665,81,11.0014,19,55,74,January,15,Sunday,2011
39,2011-01-02 16:00:00,1,0,0,3,13.94,16.665,71,11.0014,9,67,76,January,16,Sunday,2011
40,2011-01-02 17:00:00,1,0,0,1,13.94,16.665,57,12.998,7,58,65,January,17,Sunday,2011
41,2011-01-02 18:00:00,1,0,0,2,14.76,16.665,46,22.0028,10,43,53,January,18,Sunday,2011
42,2011-01-02 19:00:00,1,0,0,1,13.12,14.395,42,30.0026,1,29,30,January,19,Sunday,2011
43,2011-01-02 20:00:00,1,0,0,1,12.3,13.635,39,23.9994,5,17,22,January,20,Sunday,2011
44,2011-01-02 21:00:00,1,0,0,1,10.66,11.365,44,22.0028,11,20,31,January,21,Sunday,2011
45,2011-01-02 22:00:00,1,0,0,1,9.84,10.605,44,19.9995,0,9,9,January,22,Sunday,2011
46,2011-01-02 23:00:00,1,0,0,1,9.02,11.365,47,11.0014,0,8,8,January,23,Sunday,2011
47,2011-01-03 00:00:00,1,0,1,1,9.02,9.85,44,23.9994,0,5,5,January,0,Monday,2011
48,2011-01-03 01:00:00,1,0,1,1,8.2,8.335,44,27.9993,0,2,2,January,1,Monday,2011
49,2011-01-03 04:00:00,1,0,1,1,6.56,6.82,47,26.0027,0,1,1,January,4,Monday,2011
50,2011-01-03 05:00:00,1,0,1,1,6.56,6.82,47,19.0012,0,3,3,January,5,Monday,2011
51,2011-01-03 06:00:00,1,0,1,1,5.74,5.305,50,26.0027,0,30,30,January,6,Monday,2011
52,2011-01-03 07:00:00,1,0,1,1,5.74,6.82,50,12.998,1,63,64,January,7,Monday,2011
53,2011-01-03 08:00:00,1,0,1,1,5.74,6.06,50,19.0012,1,153,154,January,8,Monday,2011
54,2011-01-03 09:00:00,1,0,1,1,6.56,6.82,43,26.0027,7,81,88,January,9,Monday,2011
55,2011-01-03 10:00:00,1,0,1,1,7.38,8.335,43,16.9979,11,33,44,January,10,Monday,2011
56,2011-01-03 11:00:00,1,0,1,1,8.2,9.09,40,22.0028,10,41,51,January,11,Monday,2011
57,2011-01-03 12:00:00,1,0,1,1,9.02,10.605,35,19.9995,13,48,61,January,12,Monday,2011
58,2011-01-03 13:00:00,1,0,1,1,9.84,10.605,35,19.0012,8,53,61,January,13,Monday,2011
59,2011-01-03 14:00:00,1,0,1,1,10.66,12.12,30,19.0012,11,66,77,January,14,Monday,2011
60,2011-01-03 15:00:00,1,0,1,1,10.66,12.12,30,16.9979,14,58,72,January,15,Monday,2011
61,2011-01-03 16:00:00,1,0,1,1,10.66,12.12,30,16.9979,9,67,76,January,16,Monday,2011
62,2011-01-03 17:00:00,1,0,1,1,9.84,11.365,30,15.0013,11,146,157,January,17,Monday,2011
63,2011-01-03 18:00:00,1,0,1,1,9.84,12.88,32,7.0015,9,148,157,January,18,Monday,2011
64,2011-01-03 19:00:00,1,0,1,1,8.2,12.88,47,0.0,8,102,110,January,19,Monday,2011
65,2011-01-03 20:00:00,1,0,1,1,8.2,11.365,47,7.0015,3,49,52,January,20,Monday,2011
66,2011-01-03 21:00:00,1,0,1,1,7.38,9.85,64,8.9981,3,49,52,January,21,Monday,2011
67,2011-01-03 22:00:00,1,0,1,1,5.74,7.575,69,8.9981,0,20,20,January,22,Monday,2011
68,2011-01-03 23:00:00,1,0,1,1,7.38,10.605,55,7.0015,1,11,12,January,23,Monday,2011
69,2011-01-04 00:00:00,1,0,1,1,6.56,9.09,55,7.0015,0,5,5,January,0,Tuesday,2011
70,2011-01-04 01:00:00,1,0,1,1,6.56,9.09,59,7.0015,0,2,2,January,1,Tuesday,2011
71,2011-01-04 02:00:00,1,0,1,1,5.74,7.575,63,8.9981,0,1,1,January,2,Tuesday,2011
72,2011-01-04 04:00:00,1,0,1,1,5.74,9.09,63,6.0032,0,2,2,January,4,Tuesday,2011
73,2011-01-04 05:00:00,1,0,1,1,4.92,7.575,68,7.0015,0,4,4,January,5,Tuesday,2011
74,2011-01-04 06:00:00,1,0,1,1,4.92,7.575,74,7.0015,0,36,36,January,6,Tuesday,2011
75,2011-01-04 07:00:00,1,0,1,1,4.92,7.575,74,8.9981,2,92,94,January,7,Tuesday,2011
76,2011-01-04 08:00:00,1,0,1,1,5.74,7.575,69,11.0014,2,177,179,January,8,Tuesday,2011
77,2011-01-04 09:00:00,1,0,1,1,6.56,7.575,64,15.0013,2,98,100,January,9,Tuesday,2011
78,2011-01-04 10:00:00,1,0,1,2,6.56,6.82,69,22.0028,5,37,42,January,10,Tuesday,2011
79,2011-01-04 11:00:00,1,0,1,1,9.02,10.605,51,19.9995,7,50,57,January,11,Tuesday,2011
80,2011-01-04 12:00:00,1,0,1,1,9.02,11.365,51,11.0014,12,66,78,January,12,Tuesday,2011
81,2011-01-04 13:00:00,1,0,1,1,9.84,11.365,56,12.998,18,79,97,January,13,Tuesday,2011
